,year,month,weeknum,weekday,freq_complian,freq_motor
864,2007,2,7,2,1478,
865,2008,5,20,5,1418,
866,2015,7,29,1,1489,667
867,2011,4,17,6,1272,
868,2012,1,2,7,957,
869,2012,7,30,5,1494,637
870,2012,2,8,2,1298,
871,2009,7,28,2,1516,
872,2014,3,12,1,1255,519
873,2010,9,37,6,1438,
874,2010,11,44,5,1531,
875,2006,2,6,6,1284,
876,2014,9,38,1,1491,609
877,2012,5,22,1,1090,
878,2008,4,14,2,1583,
879,2011,3,11,1,1381,
880,2010,4,15,1,1428,
881,2007,11,47,1,1368,
882,2007,10,40,1,1658,
883,2011,10,43,2,1474,
884,2011,6,26,1,1477,
885,2014,8,31,7,1280,476
886,2006,8,35,1,1535,
887,2009,11,45,7,1278,
888,2012,7,31,2,1540,540
889,2011,6,23,6,1287,
890,2010,8,35,1,1445,
891,2015,12,51,6,1262,624
892,2008,3,13,4,1630,
893,2007,10,43,6,1285,
894,2009,12,50,3,1368,
895,2010,5,20,7,1274,
896,2014,1,2,3,1297,616
897,2012,7,28,3,1559,565
898,2006,4,17,1,1494,
899,2013,9,37,7,1324,476
900,2010,9,39,4,1555,
